station_id,station_name,model,horizon,target_data_class,n,MAPE,MSE,RMSE,Bias,MedianAbsoluteError,MAE
la_poza,La Poza,Chronos Large,1,direct_observation,7.0,14.707348134447557,0.045776121756335574,0.21395355046443043,0.05208578930582319,0.158795015335083,0.17797254518100195
la_poza,La Poza,Chronos Large,1,gap_filled_or_missing_observation,18.0,4.943313517283725,0.04722881583638034,0.21732191752416585,-0.048372463867694365,0.018613338817830893,0.07800868255979693
la_poza,La Poza,Chronos Large,2,direct_observation,6.0,27.808544928165645,0.1741879663821092,0.4173583189324363,0.08502260025342305,0.3972151160240173,0.3596349693139394
la_poza,La Poza,Chronos Large,2,gap_filled_or_missing_observation,19.0,9.038778927823964,0.048521816812903885,0.22027668240851977,-0.06123097891368283,0.06935596991465398,0.12437643111718762
la_poza,La Poza,Chronos Large,3,direct_observation,6.0,33.546588847248124,0.390068995789596,0.6245550382389017,0.21058390013376874,0.46183089709281916,0.48170948950449627
la_poza,La Poza,Chronos Large,3,gap_filled_or_missing_observation,19.0,10.993105571127348,0.0547511556895298,0.2339896486802991,-0.06605167949745631,0.09438798932178771,0.14703808006969593
la_poza,La Poza,Chronos Large,4,direct_observation,6.0,54.88899805899279,0.5431432627547037,0.7369825389754521,0.416668827454249,0.470080662727356,0.5567538669109345
la_poza,La Poza,Chronos Large,4,gap_filled_or_missing_observation,19.0,12.982818017766661,0.06282254328719096,0.25064425644165667,-0.07765943345230575,0.10294131855934618,0.17279341899178588
la_poza,La Poza,Chronos Large,5,direct_observation,6.0,65.60662043368293,0.4047231554766388,0.6361785562848207,0.3999933981895447,0.4646258625984192,0.5199386906623841
la_poza,La Poza,Chronos Large,5,gap_filled_or_missing_observation,19.0,14.031748196794345,0.0724985786083322,0.2692556008857238,-0.09439158117551309,0.12218630983998269,0.18885429696724698
la_poza,La Poza,Chronos Large,6,direct_observation,6.0,103.29736789818618,0.32287811098338015,0.5682236452167229,0.41463047488530475,0.43797909212112424,0.4314548223813375
la_poza,La Poza,Chronos Large,6,gap_filled_or_missing_observation,19.0,14.323883600703422,0.07506281613958703,0.27397594080427395,-0.11121933422533428,0.17347095807758905,0.19848615986175497
la_poza,La Poza,Chronos Large,7,direct_observation,6.0,71.69324403268601,0.44113691224493007,0.6641813850484897,0.5066103129386902,0.45407475733757025,0.5523839847246806
la_poza,La Poza,Chronos Large,7,gap_filled_or_missing_observation,19.0,13.292560659301431,0.06996554308876166,0.26451000564961935,-0.09709929865163713,0.1135765873346466,0.18685030230292976
la_poza,La Poza,Chronos Large,8,direct_observation,6.0,59.97766382550128,0.46224292574003384,0.6798844944106563,0.5164487573305766,0.41059524202346803,0.5720747272173564
la_poza,La Poza,Chronos Large,8,gap_filled_or_missing_observation,19.0,12.80614541530937,0.07290636654904349,0.27001178964823647,-0.09109325778771205,0.10561507506259704,0.18644139838217602
la_poza,La Poza,Chronos Large,9,direct_observation,6.0,74.49009480463637,0.46937502681592785,0.6851094998727779,0.4650519334475199,0.5876391191482544,0.5878719557126363
la_poza,La Poza,Chronos Large,9,gap_filled_or_missing_observation,19.0,15.165692785945954,0.08853163504137147,0.29754266087633796,-0.10458081592446948,0.159601471802987,0.21999196089617343
la_poza,La Poza,Chronos Large,10,direct_observation,7.0,83.33978068595238,0.6708073008508793,0.8190282662099515,0.44146834155491416,0.44921251106262217,0.6793893909454346
la_poza,La Poza,Chronos Large,10,gap_filled_or_missing_observation,18.0,17.80049626773647,0.10890785493152602,0.3300119011967993,-0.10473654228824358,0.14799218982535917,0.24887176462421706
la_poza,La Poza,Chronos Large,11,direct_observation,6.0,110.44771478094563,1.0144873311710898,1.0072176185765864,0.54823681306839,0.8214169583320617,0.8652900980313619
la_poza,La Poza,Chronos Large,11,gap_filled_or_missing_observation,19.0,16.300011435611818,0.10152617335353664,0.31863172057021666,-0.10105101237678822,0.17453618096239032,0.23156379269743022
la_poza,La Poza,Chronos Large,12,direct_observation,7.0,80.38260976720123,0.9958183796012475,0.997906999475025,0.5833654312406268,0.442577087402344,0.7653717230388096
la_poza,La Poza,Chronos Large,12,gap_filled_or_missing_observation,18.0,16.213148138542543,0.10950376186964293,0.33091352627180853,-0.08937833039262412,0.1662343462825372,0.23783406977141197
la_poza,La Poza,Chronos Large,13,direct_observation,7.0,113.4937317179889,1.3743164429063792,1.1723124339980273,0.7597947012356349,0.7525679492950439,0.9559932931491305
la_poza,La Poza,Chronos Large,13,gap_filled_or_missing_observation,18.0,16.97909870818203,0.12393815477403052,0.35204851196110815,-0.08977471864480625,0.17900988904392212,0.24998748456186493
la_poza,La Poza,Chronos Large,14,direct_observation,7.0,127.45403741188134,1.5867312330543972,1.25965520403577,0.6053101261683873,0.6920815172195437,0.9730641569410051
la_poza,La Poza,Chronos Large,14,gap_filled_or_missing_observation,18.0,19.078311378622242,0.14814096279778657,0.38489084530264756,-0.08866994353898064,0.2077478365829627,0.2763550544638105
la_poza,La Poza,Chronos Large,15,direct_observation,7.0,113.28469078903576,1.4876547528635253,1.2196945326037685,0.6561852630887712,0.599777982711792,0.8649271203449794
la_poza,La Poza,Chronos Large,15,gap_filled_or_missing_observation,18.0,21.175760524367927,0.17873531249998711,0.4227709929737223,-0.0788815278069776,0.2511914371543107,0.3059658387531054
la_poza,La Poza,Chronos Large,16,direct_observation,6.0,84.82072363463008,1.4024276949180834,1.184241400609725,0.7244370696544647,0.3986464948654174,0.7979864078362784
la_poza,La Poza,Chronos Large,16,gap_filled_or_missing_observation,19.0,25.18671831693139,0.2080312426849251,0.4561044208127401,-0.05118243431425267,0.3165678798975038,0.34747646228255474
la_poza,La Poza,Chronos Large,17,direct_observation,6.0,93.32297944311233,1.3790729440764513,1.1743393649522489,0.8547039972941083,0.7899443001747133,0.8869275557200115
la_poza,La Poza,Chronos Large,17,gap_filled_or_missing_observation,19.0,25.89157436516706,0.22160988638773157,0.4707545925296232,-0.05376716956299397,0.31149369838002405,0.36039162471581654
la_poza,La Poza,Chronos Large,18,direct_observation,7.0,109.37230304250176,1.617332318157466,1.2717438099544522,0.9493456409999305,0.7532016716003418,0.9493456409999305
la_poza,La Poza,Chronos Large,18,gap_filled_or_missing_observation,18.0,25.68623662832532,0.24454588856499848,0.49451581224971813,-0.07948134830481768,0.2588088223089774,0.3684255402070107
la_poza,La Poza,Chronos Large,19,direct_observation,7.0,119.11010504729302,1.6343203574562577,1.2784053963654323,0.9575654762813023,0.7771857166290284,0.9575654762813023
