station_id,station_name,modeled_daily_count,direct_observation_count,outlier_removed_count,iqr_outlier_flag_count,imputed_count,interpolated_count,smoothed_count,source_observation_count,low_support_imputation_count,cross_station_duplicate_candidate_count,abrupt_transition_count,high_chl_count,bloom_range_chl_count,date_min,date_max,direct_observation_proportion,outlier_removed_proportion,iqr_outlier_flag_proportion,imputed_proportion,interpolated_proportion,smoothed_proportion,low_support_imputation_proportion,cross_station_duplicate_candidate_proportion,abrupt_transition_proportion,high_chl_proportion,bloom_range_chl_proportion
la_poza,La Poza,941,432,432,37,941,0,0,536,941,432,1,17,10,2022-08-22,2025-03-19,0.45908607863974493,0.45908607863974493,0.039319872476089264,1.0,0.0,0.0,1.0,0.45908607863974493,0.0010626992561105207,0.018065887353878853,0.010626992561105207
pucon,Pucón,1331,740,508,125,1099,18,0,740,18,432,2,92,44,2021-07-28,2025-03-19,0.5559729526671675,0.3816679188580015,0.09391435011269722,0.8256949661908339,0.013523666416228399,0.0,0.013523666416228399,0.3245679939894816,0.0015026296018031556,0.06912096168294515,0.03305785123966942
