station_id,station_name,model,horizon,n,MAPE,MSE,RMSE,Bias,MedianAbsoluteError,MAE,evaluation_subset
la_poza,La Poza,Chronos Large,1,7.0,14.176715730381225,0.06655256166563737,0.257977831732956,0.05705914551871166,0.10990966987609863,0.1890655427660261,observed_targets_only
la_poza,La Poza,Chronos Large,2,6.0,35.76396406704638,0.2539794193959006,0.5039637084115289,0.09531300441424051,0.38789321780204783,0.44318613775571186,observed_targets_only
la_poza,La Poza,Chronos Large,3,6.0,43.4346706282896,0.5556096877791569,0.7453923046149302,0.18329293004671735,0.4375487694740296,0.5844484732151032,observed_targets_only
la_poza,La Poza,Chronos Large,4,6.0,63.981262680655945,0.7440796797007266,0.8626005330978683,0.37683719905217483,0.5460540244579315,0.6529323190053304,observed_targets_only
la_poza,La Poza,Chronos Large,5,6.0,70.44192320802213,0.5952128358422244,0.7715003796773041,0.36422744234402976,0.5137468252182005,0.6144369196891785,observed_targets_only
la_poza,La Poza,Chronos Large,6,6.0,116.59675031267611,0.49565016566544173,0.7040242649692138,0.3685507026712099,0.5208282791972161,0.5842034755349159,observed_targets_only
la_poza,La Poza,Chronos Large,7,6.0,70.95167486636034,0.6269261650008459,0.7917866916037715,0.41753537593285245,0.4190170912146569,0.5935487912297249,observed_targets_only
la_poza,La Poza,Chronos Large,8,6.0,52.139573553303066,0.6127352872161648,0.7827740971801281,0.367962818622589,0.2695569009780884,0.5476674192746481,observed_targets_only
la_poza,La Poza,Chronos Large,9,6.0,73.4973236696231,0.5614245618942274,0.749282698248283,0.2899689071575801,0.40512891387939454,0.6368794188896815,observed_targets_only
la_poza,La Poza,Chronos Large,10,7.0,79.64606454979116,0.750489793437069,0.8663081400039301,0.32367409607342307,0.5083587229251862,0.6792412601539066,observed_targets_only
la_poza,La Poza,Chronos Large,11,6.0,105.92128838056165,1.2122433335948015,1.1010192248979132,0.5312770912249883,0.7158763569593429,0.9812987920045853,observed_targets_only
la_poza,La Poza,Chronos Large,12,7.0,80.7731665642203,1.1776918468171889,1.0852151154573866,0.43657991867406015,0.6751583595275878,0.8966273921387534,observed_targets_only
la_poza,La Poza,Chronos Large,13,7.0,97.24703713865617,1.5043982435623575,1.2265391325034671,0.5943057513918194,0.8207308988571167,0.9998284036091396,observed_targets_only
la_poza,La Poza,Chronos Large,14,7.0,102.01640578064874,1.5497210534830235,1.2448779271410604,0.4433540457998003,0.7795046033859253,0.89515101984569,observed_targets_only
la_poza,La Poza,Chronos Large,15,7.0,98.87469559434705,1.4860921461878989,1.2190537913430641,0.49523655230658387,0.8009587879180908,0.9234824391092573,observed_targets_only
la_poza,La Poza,Chronos Large,16,6.0,72.64546913918028,1.2869693361690742,1.1344467092680353,0.4587871400117874,0.6067465314865114,0.8410817326307297,observed_targets_only
la_poza,La Poza,Chronos Large,17,6.0,67.99117959060456,1.3268333052592072,1.1518825049714085,0.5867531073292098,0.6285954494476318,0.8704122253060341,observed_targets_only
la_poza,La Poza,Chronos Large,18,7.0,85.06241382641828,1.6213505262564387,1.2733226324292044,0.7265341592175621,0.32477011466026307,0.9102120861666544,observed_targets_only
la_poza,La Poza,Chronos Large,19,7.0,81.94462512762702,1.52540135546471,1.235071396909794,0.7365293252297811,0.2886310881376267,0.8418987809419634,observed_targets_only
la_poza,La Poza,Chronos Large,20,7.0,128.69267144997315,1.77298249108729,1.3315338865711568,0.7975225663525718,0.607957887649536,0.9593803286211829,observed_targets_only
la_poza,La Poza,Chronos Large,21,7.0,116.26492628289593,2.1469555598323184,1.4652493166121314,0.861456104704312,0.6850154914855957,1.0350034723111559,observed_targets_only
la_poza,La Poza,Chronos Large,22,7.0,112.67309370620183,2.2389418745912884,1.4963094180654242,0.8449967995541439,0.6992168664932251,1.0207302305187498,observed_targets_only
la_poza,La Poza,Chronos Large,23,7.0,153.2642345280642,2.4626466834097345,1.5692822191721074,0.7933248834950584,0.7216952817440033,1.113207125902176,observed_targets_only
la_poza,La Poza,Chronos Large,24,8.0,175.33126037503442,3.4775165260498615,1.8648100509300838,0.45066467794775966,0.7732127517461777,1.4095634148418903,observed_targets_only
la_poza,La Poza,Chronos Large,25,7.0,236.45897509946016,3.924265819216957,1.9809759764360992,0.5044184538466591,1.0069091709852218,1.5969029136896131,observed_targets_only
la_poza,La Poza,Chronos Large,26,8.0,193.32610226518747,3.5265835956678115,1.877920018442695,0.5415795927792788,0.8050199182033538,1.4164793378561735,observed_targets_only
la_poza,La Poza,Chronos Large,27,8.0,226.86339657835805,3.643283610928055,1.9087387487364673,0.6811320332437756,0.8939656484127044,1.4660538238137961,observed_targets_only
la_poza,La Poza,Chronos Large,28,8.0,251.13300401325867,4.742269968962773,2.177675358946501,0.5493869219571352,0.9156737320423126,1.709624272748828,observed_targets_only
la_poza,La Poza,Chronos Large,29,8.0,225.93326454632185,4.449206740048959,2.10931428195254,0.571849156215787,0.8287349557876587,1.608603124305606,observed_targets_only
la_poza,La Poza,Chronos Large,30,7.0,201.9244084853221,4.561670069027466,2.135806655347685,0.6766646365267891,0.8020947837829591,1.6834429104157855,observed_targets_only
la_poza,La Poza,TimesFM,1,7.0,10.359782498435372,0.019524043602693043,0.1397284638242797,0.04071378081185477,0.12545277309417724,0.12074780191693989,observed_targets_only
