run_id,station_id,station_name,model,model_family,model_identifier,model_version,origin_date,target_date,horizon,context_start,context_end,context_length_used,y_true,y_true_observed,y_pred,q10,q50,q90,target_is_direct_observation,target_is_imputed,target_imputation_method,target_is_iqr_outlier,target_is_outlier_removed,prediction_source,training_site,evaluation_site
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2023-12-31,2024-01-01,1,2021-07-28,2023-12-31,887,1.489225248700509,,1.5075064897537231,1.3090741634368896,1.5075064897537231,1.7025952339172363,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2023-12-31,2024-01-07,7,2021-07-28,2023-12-31,887,1.4579096217288583,,1.503349542617798,1.144340991973877,1.503349542617798,1.837313532829285,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2023-12-31,2024-01-14,14,2021-07-28,2023-12-31,887,1.8083186703974237,,1.4793236255645752,1.0500245094299316,1.4793236255645752,1.9127402305603027,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2023-12-31,2024-01-28,28,2021-07-28,2023-12-31,887,2.973413040760873,,1.4656944274902344,1.0051898956298828,1.4656944274902344,1.990548849105835,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-14,2024-01-15,1,2021-07-28,2024-01-14,901,1.819814792241883,,1.799545407295227,1.5885027647018433,1.799545407295227,1.973813533782959,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-14,2024-01-21,7,2021-07-28,2024-01-14,901,2.2150557302989333,,1.7627273797988892,1.2020540237426758,1.7627273797988892,2.1665782928466797,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-14,2024-01-28,14,2021-07-28,2024-01-14,901,2.973413040760873,,1.6704463958740234,0.935203731060028,1.6704463958740234,2.195066213607788,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-14,2024-02-11,28,2021-07-28,2024-01-14,901,3.858,3.858,1.5613363981246948,0.7120200395584106,1.5613363981246948,2.2190487384796143,True,False,observed,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-28,2024-01-29,1,2021-07-28,2024-01-28,915,3.109042198525516,,3.09932804107666,2.7086291313171387,3.09932804107666,3.492201328277588,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
foundation_20260531T200051Z,pucon,Pucón,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-01-28,2024-02-04,7,2021-07-28,2024-01-28,915,3.592031348633422,,3.269126892089844,2.0254905223846436,3.269126892089844,4.8593645095825195,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,pucon,pucon
