date,statistic,value,station_count,station_ids,source_files,source_rows,row_count
2022-10-20,mean,7.535,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,10; 9; 236,3
2022-10-20,min,3.15,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,10; 9; 236,3
2022-10-21,max,22.29,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,11; 10; 237,3
2022-10-21,mean,5.882,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,11; 10; 237,3
2022-10-21,min,1.07,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,11; 10; 237,3
2022-10-22,max,13.76,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,12; 11; 238,3
2022-10-22,mean,3.992,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,12; 11; 238,3
2022-10-22,min,1.12,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,12; 11; 238,3
2022-10-23,max,32.01,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,13; 12; 239,3
2022-10-23,mean,5.955,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,13; 12; 239,3
2022-10-23,min,0.96,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,13; 12; 239,3
2022-10-24,max,8.03,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,14; 13; 240,3
2022-10-24,mean,2.915,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,14; 13; 240,3
2022-10-24,min,0.68,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,14; 13; 240,3
2022-10-25,max,14.43,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,15; 14; 241,3
2022-10-25,mean,3.674,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,15; 14; 241,3
2022-10-25,min,0.73,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,15; 14; 241,3
2022-10-26,max,5.18,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,16; 15; 242,3
2022-10-26,mean,3.101,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,16; 15; 242,3
2022-10-26,min,0.46,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,16; 15; 242,3
2022-10-27,max,6.53,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,17; 16; 243,3
2022-10-27,mean,3.76,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,17; 16; 243,3
2022-10-27,min,0.97,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,17; 16; 243,3
2022-10-28,max,22.76,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,18; 17; 244,3
2022-10-28,mean,6.519,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,18; 17; 244,3
2022-10-28,min,2.03,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,18; 17; 244,3
2022-10-29,max,16.01,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,19; 18; 245,3
2022-10-29,mean,6.78,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,19; 18; 245,3
2022-10-29,min,3.05,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,19; 18; 245,3
2022-10-30,max,15.06,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,20; 19; 246,3
2022-10-30,mean,4.125,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,20; 19; 246,3
2022-10-30,min,1.15,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,20; 19; 246,3
2022-10-31,max,10.79,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,21; 20; 247,3
2022-10-31,mean,3.214,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,21; 20; 247,3
2022-10-31,min,1.04,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,21; 20; 247,3
2022-11-01,max,5.57,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,22; 21; 248,3
2022-11-01,mean,3.101,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,22; 21; 248,3
2022-11-01,min,1.34,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,22; 21; 248,3
2022-11-02,max,11.04,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,23; 22; 249,3
2022-11-02,mean,3.82,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,23; 22; 249,3
2022-11-02,min,1.16,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,23; 22; 249,3
2022-11-03,max,11.27,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,24; 23; 250,3
2022-11-03,mean,3.821,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,24; 23; 250,3
2022-11-03,min,1.9,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,24; 23; 250,3
2022-11-04,max,5.29,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,25; 24; 251,3
2022-11-04,mean,3.667,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,25; 24; 251,3
