run_id,station_id,station_name,model,model_family,model_identifier,model_version,origin_date,target_date,horizon,context_start,context_end,context_length_used,y_true,y_true_observed,y_pred,q10,q50,q90,target_is_direct_observation,target_is_imputed,target_imputation_method,target_is_iqr_outlier,target_is_outlier_removed,prediction_source,training_site,evaluation_site
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-02-11,2024-03-10,28,2022-08-22,2024-02-11,539,0.356,0.356,3.3414313793182373,1.8631254434585571,3.3414313793182373,5.0747971534729,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-02-25,2024-02-26,1,2022-08-22,2024-02-25,553,1.504,1.504,1.334649920463562,1.1642597913742063,1.334649920463562,1.633812427520752,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-02-25,2024-03-03,7,2022-08-22,2024-02-25,553,1.021,1.021,1.3326456546783447,0.964847207069397,1.3326456546783447,1.9920530319213867,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-02-25,2024-03-10,14,2022-08-22,2024-02-25,553,0.356,0.356,1.3066859245300293,0.964208722114563,1.3066859245300293,1.877873778343201,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-02-25,2024-03-24,28,2022-08-22,2024-02-25,553,0.442,0.442,1.2692264318466189,0.9629102349281312,1.2692264318466189,1.6991071701049805,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-10,2024-03-11,1,2022-08-22,2024-03-10,567,0.363,0.363,0.3509585857391357,0.0266079902648925,0.3509585857391357,0.7027155160903931,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-10,2024-03-17,7,2022-08-22,2024-03-10,567,0.54,0.54,0.2824840545654297,-0.5119363069534302,0.2824840545654297,1.3842949867248535,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-10,2024-03-24,14,2022-08-22,2024-03-10,567,0.442,0.442,0.3674054145812988,-0.7206712961196899,0.3674054145812988,2.108424663543701,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-10,2024-04-07,28,2022-08-22,2024-03-10,567,0.975,0.975,0.524474024772644,-0.9201666116714478,0.524474024772644,2.8948845863342285,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-24,2024-03-25,1,2022-08-22,2024-03-24,581,0.546,0.546,0.4472724199295044,0.3142652511596679,0.4472724199295044,0.6233850717544556,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-24,2024-03-31,7,2022-08-22,2024-03-24,581,0.696,0.696,0.4583760499954223,0.0605379343032836,0.4583760499954223,1.076392650604248,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-24,2024-04-07,14,2022-08-22,2024-03-24,581,0.975,0.975,0.5257034301757812,-0.0804132223129272,0.5257034301757812,1.5276271104812622,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-03-24,2024-04-21,28,2022-08-22,2024-03-24,581,1.569,1.569,0.6935980319976807,-0.1468029022216797,0.6935980319976807,2.072453737258911,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-07,2024-04-08,1,2022-08-22,2024-04-07,595,0.84,0.84,1.0028598308563232,0.765494704246521,1.0028598308563232,1.1859548091888428,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
