station_id,station_name,model,horizon,n,MAPE,MSE,RMSE,Bias,MedianAbsoluteError,MAE
la_poza,La Poza,Chronos Large,1,25.0,7.677243210089596,0.0468220614939678,0.2163840601661033,-0.0202441529791094,0.0315291523507685,0.1059985640937343
la_poza,La Poza,Chronos Large,2,25.0,13.54352276790597,0.0786816927095131,0.2805025716629228,-0.0261301199135774,0.0926992575564774,0.180838480284408
la_poza,La Poza,Chronos Large,3,25.0,16.405941557396336,0.1352274373135457,0.3677328341521133,0.0003408596140377,0.105901139792002,0.227359218334048
la_poza,La Poza,Chronos Large,4,25.0,23.04030122766093,0.178099515959394,0.4220183834377289,0.0409793491652674,0.1352914813712851,0.2649439264923815
la_poza,La Poza,Chronos Large,5,25.0,26.40971753364761,0.1522324770567258,0.3901698054139066,0.0242608138721007,0.1765552470705778,0.2683145514540799
la_poza,La Poza,Chronos Large,6,25.0,35.67751983209928,0.1345384869020973,0.3667948839639088,0.0149846199612191,0.173470958077589,0.2543986388664547
la_poza,La Poza,Chronos Large,7,25.0,27.30872466891373,0.159046671686242,0.3988065592317183,0.0477910081300414,0.1617602198716092,0.27457838608415
la_poza,La Poza,Chronos Large,8,25.0,24.127309833755433,0.1663471407548812,0.4078567649983032,0.0547168258406772,0.1668779096603393,0.2789933973026192
la_poza,La Poza,Chronos Large,9,25.0,29.403549270431643,0.179934049067265,0.424186337671624,0.0321310439248079,0.2493251444772165,0.3082831596521245
la_poza,La Poza,Chronos Large,10,25.0,36.15149590483693,0.2662396997889449,0.5159842049800991,0.0482008251878406,0.3385401449788574,0.3694166999941579
la_poza,La Poza,Chronos Large,11,25.0,38.89546023849193,0.3206368512297494,0.5662480474401209,0.0547780657300545,0.279216565358529,0.3836581059775738
la_poza,La Poza,Chronos Large,12,25.0,34.18059739456697,0.3576718548344921,0.5980567321203668,0.0989899228646861,0.2430451287230248,0.3855446126862833
la_poza,La Poza,Chronos Large,13,25.0,44.00319595092795,0.4740440754510882,0.6885085877831069,0.1481047189217172,0.217368003480517,0.4476691109662993
la_poza,La Poza,Chronos Large,14,25.0,49.4235146679348,0.5509462384696375,0.7422575284021291,0.1056444759790824,0.292960293350387,0.471433603157425
la_poza,La Poza,Chronos Large,15,25.0,46.96626099847493,0.5452327558017778,0.7383987783046352,0.126937173643832,0.2883944869467167,0.4624749975988302
la_poza,La Poza,Chronos Large,16,25.0,39.49887959317907,0.494686391220883,0.7033394566074642,0.1349662466382395,0.3165678798975038,0.4555988492154485
la_poza,La Poza,Chronos Large,17,25.0,42.07511158387392,0.4994010202330242,0.7066831116087494,0.1642659104827105,0.340411383513634,0.4867602481568232
la_poza,La Poza,Chronos Large,18,25.0,49.11833522429472,0.6289260888508895,0.7930486043433211,0.2085902087005117,0.3243086300412063,0.5310831684290281
la_poza,La Poza,Chronos Large,19,25.0,52.17387505311255,0.6585961634972205,0.8115393788949619,0.1918343827118472,0.3987528356895613,0.5444105834289181
la_poza,La Poza,Chronos Large,20,25.0,60.30377856698029,0.7395484678413906,0.85997003892077,0.1894260241711746,0.3944260051962861,0.5560300620749747
la_poza,La Poza,Chronos Large,21,25.0,57.10556275763983,0.8371914175670675,0.9149816487597264,0.2109035903551142,0.3818048832839893,0.5872760097089837
la_poza,La Poza,Chronos Large,22,25.0,56.57983225593941,0.8913100606475269,0.944092188638126,0.2106849780602599,0.3971032476425171,0.5925541571519557
la_poza,La Poza,Chronos Large,23,25.0,67.58396302579456,0.9840441756006092,0.9919900078128856,0.1766131076823621,0.3530143423080444,0.6181738551305098
la_poza,La Poza,Chronos Large,24,25.0,77.19978205952097,1.0933704732517358,1.0456435689333798,0.1826208075212067,0.4167626814148715,0.6547592574407554
la_poza,La Poza,Chronos Large,25,25.0,84.67118942539449,1.0216147190981362,1.0107495827840525,0.176158182516426,0.4605292485397152,0.6376324340919524
la_poza,La Poza,Chronos Large,26,25.0,80.69434518878218,1.0746466975955535,1.0366516761166953,0.2222324682914289,0.4672955047522966,0.655022976149481
la_poza,La Poza,Chronos Large,27,25.0,94.77911156052744,1.139101543729421,1.0672870015742817,0.2739195305665897,0.4744455744585376,0.6867274494149536
la_poza,La Poza,Chronos Large,28,25.0,102.36348343008108,1.398964129674729,1.182778140512721,0.2306692454368149,0.4041646227846405,0.7569858011951917
la_poza,La Poza,Chronos Large,29,25.0,93.62231078950036,1.3193693135631426,1.1486380254732744,0.2391774131351433,0.4848751163482666,0.7368866555670273
la_poza,La Poza,Chronos Large,30,25.0,78.41466809445134,1.18974606133552,1.0907548126575102,0.2355438705790415,0.3658017099080992,0.7017553544074825
la_poza,La Poza,TimesFM,1,25.0,8.782379132951343,0.0299157078072329,0.1729615789915002,0.0049007256467603,0.0586578388214111,0.0992398085867287
la_poza,La Poza,TimesFM,2,25.0,12.40332296976427,0.0498443586666053,0.2232585018909814,0.0043926867308622,0.1041177266668568,0.1563181656687386
la_poza,La Poza,TimesFM,3,25.0,18.96855242626978,0.0952134498925503,0.3085667673171405,0.0163466784578792,0.1425194329063341,0.2274915793714271
la_poza,La Poza,TimesFM,4,25.0,22.914677190483815,0.1350176488103028,0.367447477621364,0.0771114154151148,0.1411585702066701,0.237004094588853
la_poza,La Poza,TimesFM,5,25.0,27.787247444226736,0.1304768667023325,0.3612158173479292,0.0524937888782042,0.1598971918461043,0.2541333487718568
la_poza,La Poza,TimesFM,6,25.0,42.04791750800935,0.1378996007750438,0.3713483550186318,0.0272979692081978,0.1833375862357148,0.2795361717015132
la_poza,La Poza,TimesFM,7,25.0,31.000455555959338,0.1648726099252464,0.4060450836117172,0.051293288842169,0.1875910164886546,0.2999925059537253
la_poza,La Poza,TimesFM,8,25.0,25.447893854538,0.166049978347114,0.4074923046477245,0.0516067055441989,0.1765137194595541,0.2937777905106153
la_poza,La Poza,TimesFM,9,25.0,30.6170415635002,0.1887021547798018,0.4343986127737999,0.0187847151894564,0.2313160711718873,0.3101340999794437
la_poza,La Poza,TimesFM,10,25.0,35.99202698038803,0.2438532456785245,0.4938149913464804,0.022157233688512,0.2103870811462402,0.3487549241787094
la_poza,La Poza,TimesFM,11,25.0,42.294971777926094,0.2844103798370493,0.533301396807705,0.0254880667218758,0.217626754760742,0.3668819460386083
la_poza,La Poza,TimesFM,12,25.0,34.41353461672309,0.2771267058526656,0.5264282532811718,0.050948753221284,0.21857346534729,0.3403982837958267
la_poza,La Poza,TimesFM,13,25.0,38.43828701010586,0.3307900848805151,0.5751435341551838,0.1028733718376719,0.2005391596348198,0.3656838089784291
la_poza,La Poza,TimesFM,14,25.0,43.40440148864094,0.4374065015642434,0.6613671458155775,0.0578484149401114,0.2461713061342498,0.4280341437026323
la_poza,La Poza,TimesFM,15,25.0,42.28370798680976,0.4257323071258409,0.6524816527120444,0.0717821467311428,0.2094513504351622,0.4179447703619757
la_poza,La Poza,TimesFM,16,25.0,34.45795814659975,0.3801641356251495,0.6165745174957765,0.0688561745023142,0.2121522982607802,0.3945547851669229
la_poza,La Poza,TimesFM,17,25.0,31.39075526567495,0.3414823779654694,0.5843649356057132,0.0713634861472307,0.1466378988661401,0.363992101646847
la_poza,La Poza,TimesFM,18,25.0,39.66653137236085,0.4404375776972593,0.6636547127062832,0.109615892580364,0.2481735012378387,0.4215792158116306
la_poza,La Poza,TimesFM,19,25.0,42.95491511694571,0.4803680319491692,0.6930858763163258,0.1011753556122379,0.2594994142887313,0.443386484876368
la_poza,La Poza,TimesFM,20,25.0,56.2414163009968,0.5702638518112861,0.7551581634408028,0.106126811715425,0.3334219932556153,0.4984775540032
la_poza,La Poza,TimesFM,21,25.0,51.36072777886803,0.63024927246795,0.7938824046846926,0.1244872886278193,0.306462677127991,0.514189498966624
la_poza,La Poza,TimesFM,22,25.0,50.042950473867975,0.668916097986409,0.8178729106569119,0.1178987136407043,0.2303934535980225,0.515394249915311
la_poza,La Poza,TimesFM,23,25.0,61.72732067237228,0.7727815530350592,0.879079946896219,0.0834001693736463,0.3003138065906247,0.5688105088666311
la_poza,La Poza,TimesFM,24,25.0,70.63748167732047,0.8622241577805546,0.9285602607157786,0.0980904229806488,0.3623624801635743,0.59712920960328
la_poza,La Poza,TimesFM,25,25.0,77.7590831212635,0.806979791204641,0.8983205392312039,0.1028660844710769,0.4704549716155819,0.6063548535450107
la_poza,La Poza,TimesFM,26,25.0,71.22624827258315,0.8160448407227495,0.9033520026671494,0.140528080626634,0.4186393260955811,0.5905328480930738
la_poza,La Poza,TimesFM,27,25.0,84.3995639915545,0.8731851766963586,0.9344437793127838,0.1692427617868349,0.4256471977233887,0.617540675626693
la_poza,La Poza,TimesFM,28,25.0,93.22551854007824,1.122115281002251,1.0592994293410392,0.1328153941184556,0.4878345489501953,0.702344253460413
la_poza,La Poza,TimesFM,29,25.0,85.49264855494518,1.053663367733839,1.026481060582142,0.1378450013690912,0.4360578651428222,0.6845762512226727
