station_id,station_name,date,statistic,n_rows,n_unique_values,min_value,max_value,quality_flags,source_files,source_rows,resolution_status
la_poza,La Poza,2022-10-22,mean,2,1,3.992,3.992,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,12; 11,identical_duplicate_values
la_poza,La Poza,2022-10-22,min,2,1,1.12,1.12,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,12; 11,identical_duplicate_values
la_poza,La Poza,2022-10-23,max,2,1,32.01,32.01,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,13; 12,identical_duplicate_values
la_poza,La Poza,2022-10-23,mean,2,1,5.955,5.955,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,13; 12,identical_duplicate_values
la_poza,La Poza,2022-10-23,min,2,1,0.96,0.96,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,13; 12,identical_duplicate_values
la_poza,La Poza,2022-10-24,max,2,1,8.03,8.03,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,14; 13,identical_duplicate_values
la_poza,La Poza,2022-10-24,mean,2,1,2.915,2.915,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,14; 13,identical_duplicate_values
la_poza,La Poza,2022-10-24,min,2,1,0.68,0.68,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,14; 13,identical_duplicate_values
la_poza,La Poza,2022-10-25,max,2,1,14.43,14.43,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,15; 14,identical_duplicate_values
la_poza,La Poza,2022-10-25,mean,2,1,3.674,3.674,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,15; 14,identical_duplicate_values
la_poza,La Poza,2022-10-25,min,2,1,0.73,0.73,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,15; 14,identical_duplicate_values
la_poza,La Poza,2022-10-26,max,2,1,5.18,5.18,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,16; 15,identical_duplicate_values
la_poza,La Poza,2022-10-26,mean,2,1,3.101,3.101,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,16; 15,identical_duplicate_values
la_poza,La Poza,2022-10-26,min,2,1,0.46,0.46,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,16; 15,identical_duplicate_values
la_poza,La Poza,2022-10-27,max,2,1,6.53,6.53,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,17; 16,identical_duplicate_values
la_poza,La Poza,2022-10-27,mean,2,1,3.76,3.76,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,17; 16,identical_duplicate_values
la_poza,La Poza,2022-10-27,min,2,1,0.97,0.97,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,17; 16,identical_duplicate_values
la_poza,La Poza,2022-10-28,max,2,1,22.76,22.76,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,18; 17,identical_duplicate_values
la_poza,La Poza,2022-10-28,mean,2,1,6.519,6.519,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,18; 17,identical_duplicate_values
la_poza,La Poza,2022-10-28,min,2,1,2.03,2.03,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,18; 17,identical_duplicate_values
la_poza,La Poza,2022-10-29,max,2,1,16.01,16.01,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,19; 18,identical_duplicate_values
la_poza,La Poza,2022-10-29,mean,2,1,6.78,6.78,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,19; 18,identical_duplicate_values
la_poza,La Poza,2022-10-29,min,2,1,3.05,3.05,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,19; 18,identical_duplicate_values
la_poza,La Poza,2022-10-30,max,2,1,15.06,15.06,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,20; 19,identical_duplicate_values
la_poza,La Poza,2022-10-30,mean,2,1,4.125,4.125,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,20; 19,identical_duplicate_values
la_poza,La Poza,2022-10-30,min,2,1,1.15,1.15,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,20; 19,identical_duplicate_values
la_poza,La Poza,2022-10-31,max,2,1,10.79,10.79,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,21; 20,identical_duplicate_values
la_poza,La Poza,2022-10-31,mean,2,1,3.214,3.214,ok,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls,21; 20,identical_duplicate_values
